name,weight,kcal
Anielskie ciasto na białkach,100 g,258
Babeczka,100 g,305
Babka marmurkowa,100 g,339
Babka piaskowa,100 g,390
Beza,100 g,285
Biszkopt,100 g,289
Biszkopty czarno-białe,100 g,381
Ciastka Profiterole,100 g,334
Ciasto cytrynowe,100 g,352
Ciasto czekoladowe,100 g,389
Ciasto czekoladowe bez mąki,100 g,509
Ciasto drożdżowe,100 g,375
Ciasto francuskie,100 g,558
Ciasto jagodowe,100 g,232
Ciasto kokosowe,100 g,356
Ciasto marchewkowe,100 g,408
Ciasto na maślance,100 g,380
Ciasto owocowe,100 g,324
Ciasto Tiramisu,100 g,291
Ciasto Trzech Króli,100 g,377
Ciasto z bananów i toffi,100 g,395
Ciasto z kruszonką,100 g,441
Ciasto z lodów,100 g,200
Ciasto z okrągłej formy,100 g,370
Ciasto śliwkowe,100 g,109
Deser Trifle,100 g,180
Duet,100 g,267
Flan,100 g,145
Gofry,100 g,312
Keks,100 g,376
Kremówka papieska,100 g,520
Makowiec,100 g,394
Mazurek wielkanocny,100 g,475
Miodownik,100 g,282
Muffinka czekoladowa,100 g,420
Muffinka jagodowa,100 g,377
Naleśnik,100 g,227
Piernik,100 g,356
Placek brzoskwiniowy,100 g,223
Placek z malinami,100 g,240
Placek z rabarbarem,100 g,245
Placek z truskawkami,100 g,230
Placek z truskawkami i rabarbarem,100 g,281
Placek z wiśniami,100 g,260
Profiterole,100 g,334
Pączek,100 g,403
Pączek francuski,100 g,412
Rolada,100 g,439
Rolada biszkoptowa z kremem,100 g,428
Rożek jabłkowy,100 g,348
Sernik,100 g,321
Strucla z makiem,100 g,345
Strudel jabłkowy,100 g,274
Szarlotka,100 g,252
Sękacz,100 g,477
Tarta Tatin,100 g,210
Tiramisu,100 g,283
Tort Sachera,100 g,352
Tort Szwarcwaldzki,100 g,264
Tort urodzinowy,100 g,465
Tort weselny,100 g,381
Tort z musu czekoladowego,100 g,260
Wuzetka,100 g,353
