name,kcalPerMin
ćwiczyć aerobiku,9.17
ćwiczyć aerobiku w wodzie,9.67
grać w badmintona,6.67
biegać,20
ćwiczyć na siłowni,6.67
chodzić po sklepie,4.17
czytać,0.42
czytać głośno,2.5
grać w golfa,4.17
gotować,1.75
grać na pianinie,2
grać w kręgle,5
grać w piłkę nożną,10.83
ćwiczyć jogi,4.8
uprawiać intensywnej gimnastyki,5
jeździć konno,10.83
jeździć na deskorolce,6.18
jeździć na nartach biegowych,9.57
jeździć na nartach wodnych,7.35
jeździć na nartach,8.52
jeździć na rolkach,6.67
jeździć na rowerze,5
jeździć szybko na rowerze,10
uprawiać joggingu,10
grać w kosza,9.17
uprawiać lekkiej gimnastyki,3.5
ćwiczyć marszobiegu,8.33
myć okien,4
myć podłogi,4.17
odkurzać,4.33
piłować drewna,7.5
grać w ping-ponga,4.67
pływać,6.67
pracować w ogródku,4.17
prać ręcznie,2.5
prasować,2.4
robić na drutach,0.92
robić zakupów,5
schodzić ze schodów,6.07
ścierać kurzy,4
grać w siatkówkę,7.5
grać w siatkówkę plażową,9.8
skakać na skakance,9.57
słać łóżka,3.33
spacerować w szybkim tempie,5
spacerować w umiarkowanym tempie,3.33
spać,1.03
śpiewać,2.03
sprzątać łazienki,4
sprzątać pokoju,3
grać w squasha,8.28
stać na baczność,1.92
stać swobodnie,1.67
szorować podłóg,7.1
iść szybkim marszem,2.5
szyć na maszynie,2.25
szyć ręcznie,1.85
tańczyć na dyskotece,8.33
grać w tenisa,7.5
trzepać dywanów,4.33
wchodzić po schodach,18.33
wędkować,5
wiosłować,8.33
zamiatać podłogi,1.67
zmywać naczyń,1.9
